"Date","Price","Open","High","Low","Vol.","Change %"
"19-08-2023","6.18","6.17","6.26","6.12","2.36M","0.00%"
"18-08-2023","6.17","6.19","6.28","6.09","4.92M","-0.37%"
"17-08-2023","6.20","6.76","6.87","5.63","8.51M","-8.37%"
"16-08-2023","6.76","7.05","7.07","6.61","6.15M","-4.06%"
"15-08-2023","7.05","7.41","7.43","6.89","6.17M","-4.93%"
"14-08-2023","7.41","7.37","7.62","7.31","3.84M","0.52%"
"13-08-2023","7.38","7.44","7.56","7.32","2.09M","-0.82%"
"12-08-2023","7.44","7.49","7.54","7.39","1.35M","-0.75%"
"11-08-2023","7.49","7.62","7.64","7.41","1.87M","-1.63%"
"10-08-2023","7.62","7.68","7.72","7.56","3.32M","-0.88%"
"09-08-2023","7.68","7.46","7.91","7.38","5.40M","3.03%"
"08-08-2023","7.46","7.32","7.53","7.29","4.04M","1.86%"
"07-08-2023","7.32","7.10","7.39","6.95","3.39M","3.07%"
"06-08-2023","7.10","7.23","7.27","7.08","1.72M","-1.69%"
"05-08-2023","7.23","7.14","7.25","7.10","1.64M","1.19%"
"04-08-2023","7.14","7.13","7.26","7.03","3.13M","0.20%"
"03-08-2023","7.13","7.35","7.41","7.09","3.45M","-2.97%"
"02-08-2023","7.35","7.64","7.71","7.34","4.65M","-3.87%"
"01-08-2023","7.64","7.55","7.64","7.35","3.91M","1.26%"
"31-07-2023","7.55","7.56","7.71","7.45","3.51M","-0.21%"
"30-07-2023","7.56","7.84","7.86","7.39","3.06M","-3.58%"
"29-07-2023","7.84","7.76","7.89","7.73","2.02M","0.33%"
"28-07-2023","7.82","7.99","8.09","7.78","3.22M","-2.20%"
"27-07-2023","7.99","7.74","8.10","7.69","6.08M","3.23%"
"26-07-2023","7.74","7.39","7.83","7.29","6.65M","4.73%"
"25-07-2023","7.39","7.59","7.64","7.35","4.25M","-2.52%"
"24-07-2023","7.59","7.89","7.89","7.47","6.46M","-3.91%"
"23-07-2023","7.89","7.88","8.09","7.83","3.79M","0.21%"
"22-07-2023","7.88","8.13","8.30","7.79","7.10M","-3.04%"
"21-07-2023","8.12","8.35","8.42","8.06","9.89M","-2.71%"
"20-07-2023","8.35","6.91","8.40","6.89","25.92M","20.77%"
"19-07-2023","6.92","6.91","7.05","6.78","4.96M","0.00%"
"18-07-2023","6.91","7.19","7.30","6.80","9.64M","-3.77%"
"17-07-2023","7.19","6.61","7.25","6.46","9.89M","8.79%"
"16-07-2023","6.61","6.92","6.92","6.58","3.65M","-4.49%"
"15-07-2023","6.92","6.96","7.02","6.83","3.46M","-0.58%"
"14-07-2023","6.96","7.12","7.34","6.71","8.00M","-2.32%"
"13-07-2023","7.12","6.25","7.14","6.21","6.95M","13.92%"
"12-07-2023","6.25","6.21","6.34","6.20","2.21M","0.73%"
"11-07-2023","6.21","6.17","6.23","6.12","1.10M","0.63%"
"10-07-2023","6.17","6.15","6.30","6.02","2.21M","0.33%"
"09-07-2023","6.15","6.20","6.24","6.13","1.23M","-0.81%"
"08-07-2023","6.20","6.16","6.22","6.10","1.31M","0.66%"
"07-07-2023","6.16","6.08","6.22","6.04","2.11M","1.25%"
"06-07-2023","6.08","6.30","6.51","6.08","3.80M","-3.52%"
"05-07-2023","6.30","6.52","6.57","6.22","3.10M","-3.36%"
"04-07-2023","6.52","6.63","6.63","6.41","2.67M","-1.58%"
"03-07-2023","6.63","6.54","6.69","6.47","3.30M","1.33%"
"02-07-2023","6.54","6.50","6.56","6.34","4.18M","0.59%"
"01-07-2023","6.50","6.31","6.52","6.13","5.25M","3.01%"
"30-06-2023","6.31","5.89","6.45","5.81","8.92M","7.13%"
"29-06-2023","5.89","5.81","6.18","5.79","4.30M","1.41%"
"28-06-2023","5.81","6.20","6.20","5.74","4.23M","-6.31%"
"27-06-2023","6.20","6.06","6.25","6.05","3.32M","2.24%"
"26-06-2023","6.06","6.16","6.25","6.01","3.95M","-1.51%"
"25-06-2023","6.16","6.14","6.37","6.06","3.29M","0.24%"
"24-06-2023","6.14","6.07","6.19","5.94","3.28M","1.25%"
"23-06-2023","6.07","5.56","6.15","5.55","6.86M","9.10%"
"22-06-2023","5.56","5.56","5.82","5.52","4.77M","0.00%"
"21-06-2023","5.56","5.27","5.58","5.25","5.38M","5.68%"
"20-06-2023","5.27","5.13","5.28","5.00","4.31M","2.71%"
"19-06-2023","5.13","5.16","5.18","5.00","3.29M","-0.74%"
"18-06-2023","5.16","5.28","5.30","5.15","2.00M","-2.14%"
"17-06-2023","5.28","5.32","5.39","5.23","1.92M","-0.81%"
"16-06-2023","5.32","5.31","5.39","5.17","2.24M","0.28%"
"15-06-2023","5.31","5.25","5.42","5.16","2.99M","1.11%"
"14-06-2023","5.25","5.30","5.51","5.16","3.93M","-1.00%"
